AE:  United Arab Emirates
AF:  Afghanistan
AO:  Angola
AR:  Argentina
AU:  Australia
AT:  Austria
BE:  Belgium
BR:  Brazil
CA:  Canada
CL:  Chile
CN:  China
CO:  Colombia
CY:  Cyprus
CZ:  Czech Republic
DK:  Denmark
FR:  France
DE:  Germany
GE:  Georgia
GR:  Greece
HK:  Hong Kong
HU:  Hungary
IN:  India
ID:  Indonesia
IE:  Ireland
IL:  Israel
IT:  Italy
JP:  Japan
KR:  Korea, Republic of
KZ:  Kazakhstan 
LU:  Luxembourg
MX:  Mexico
MY:  Malaysia
NP:  Nepal
NL:  Netherlands
NZ:  New Zealand
NO:  Norway
PE:  Peru
PH:  Philippines
PL:  Poland
PT:  Portugal
QA:  Qatar
RU:  Russian Federation
SG:  Singapore
SI:  Slovenia
ZA:  South Africa
ES:  Spain
SE:  Sweden
CH:  Switzerland
TW:  Taiwan
TH:  Thailand
TN:  Tunisia
TR:  Turkey
UA:  Ukraine
GB:  United Kingdom
US:  United States
UY:  Uruguay
VN:  Vietnam
on:  Unknown location
